id,source,left_context,mention,right_context,nil_type
963,train,"automorphism class \varphi\in \operatorname(F_n) of \Phi is fully irreducible.Two fully irreducibles \varphi,\psi\in \operatorname(F_n) are called",''independent'',if \langle \varphi\rangle \cap \langle \psi \rangle = \.===Relationship to irreducible automorphisms===The notion of being fully irr,Non-Entity Phrase
965,train,ratistha and Queen Prithvi at Varanasi on 12 Jestha Shukla in the Ikshvaku clan. He is said to have attained moksha at Śikharji on the sixth day of,the dark half,of the month of Phālguna.,Non-Entity Phrase
966,train,"973 with Dorothy Moore, a native of Jackson MS who had recorded a number of tracks at the Malaco Studios in Jackson. Moore would recall receiving a",morning call,at her home from Couch inviting Moore to Couch's studio to hear a song he deemed perfect for her: (Dorothy Moore quote:) I didn’t have,Non-Entity Phrase
967,train,"compete against the other grades in games such as Turkey Bowling, War of the Classes, and the Loudest Class.Pep RallyDuring the last Friday before",the homecoming,"football game, students and faculty gather in the gymnasium to prepare the football team and their fans for the first home game of th",Non-Entity Phrase
969,train,"ations.G.I. Joe: A Real American Hero #33 (March 1985)He is featured in issue #37, when he goes with Gung-Ho and Ripcord to a local fair. They come",under attack,by the Cobra officers Tomax and Xamot. Blowtorch and Gung-Ho are fired upon as they ride a roller coaster; it is only the steel of the,Non-Entity Phrase
974,train,prominently in The Indelicates album David Koresh Superstar. * In the song The Grand Conjuration by Opeth from Ghost Reveries makes a reference to,the pale horse,"rider (Death) searching the Earth. * In the Genesis song Anyway , from The Lamb Lies Down on Broadway, the character Rael is facing d",Non-Entity Phrase
976,train,"ate would place him in the right time and area to be preached to by Saint Wilfrid, the Apostle of Sussex (680鈥?85), and would probably make Wilfrid",the man who,converted and baptised Cuthmann and his parents.Some authorities give him a date later than this.===Travels to Steyning===His legend sta,Non-Entity Phrase
979,train,"tist, wakes to find that he has been sealed into his flat with no way out. There is no electricity, no water and no communications with the outside",world apart,"from a voice over the intercom, repeating the phrase, please remain calm, the situation is under control . Strange figures in Hazmat sui",Non-Entity Phrase
981,train,Muslim Albanian inhabitants were massacred by Greek forces of Thanasis Vagias serving the local Ottoman Albanian ruler Ali Pasha. The later ordered,the massacre,"due to a long-standing vendetta he had with the village.Foss, Arthur (1978). Epirus. Faber. . p. 139. Hughes had also admired Dervizian",Missing Entity
994,train,"retrieved May 2, 2018Publishers Weekly considered it to be witty with complex reverberations , and lauded the originality of the atmosphere and the",simple pleasure,"of savoring Valente’s exuberant writing ., reviewed at Publishers Weekly; published December 10, 2012; retrieved May 2, 2018 Kirkus",Non-Entity Phrase
995,train,"Found, with the record label; Interscope Records. The song was produced by Kwame K1 Mil , who also participated in the band composition, along with",the interpreter,"and Lennie Bennett. Upon its release, the single topped the Australian Singles Chart, peaked at number seven on the US Billboard Hot",Missing Entity
996,train,"it about an ex of mine. We would bump into each other after we split and he'd moved on and had a nice girlfriend. We'd smile and say Hi, but I was",still crazy,"about him so I always had to hide how I felt, and be cool and casual.In 1993, the song re-entered the charts and reached No. 53 when it",Non-Entity Phrase
997,train,"warm, modest and good-humored. Bing Crosby has a manner and a voice, both pleasant, and the songs that Nacio Brown and Arthur Freed provide have a",tinkle,and a lilt. From the competent routine sentiments of 鈥淥ur Big Love Scene鈥?and the pleasing little pastoral lyric 鈥淲e鈥檒l Make Love When It Rai,Non-Entity Phrase
1003,train,The 1987鈥?8 1. Slovensk谩 n谩rodn谩 hokejov谩 liga season was the,19th season,"of the 1. Slovenská národná hokejová liga, the second level of ice hockey in Czechoslovakia alongside the 1. Česká národní hokejová liga. 12 teams participated in the league, and TJ Plastika Nitra won the championship. TJ",Non-Entity Phrase
1005,train,"port. In the video, the illusion was achieved using cables and a harness. In October 1993, Jackson and his team patented a method of performing the",lean in,"concert using specially designed shoes that hook into pegs that rise from the stage. Even with the shoes, the move requires good athletic co",Non-Entity Phrase
1007,train,"s, a Sunset Western Railroad contractor.Perhaps Fellows' greatest claim to fame was as the location of a fictional event. The 1969 educational film",the lottery,", based on the famous short story by Shirley Jackson, was shot at Fellows.https://www.imdb.com/title/tt0417917/ It featured a small town",Missing Entity
1009,train,Henry Chance Newton (13 March 1854 鈥?2 January 1931) was a British author and theatre critic for,the referee,"magazine.Newton had written about the stage since 1875 when he joined the staff of Hood's Comic Annual. He wrote using the pseudonym Gawain, the London correspondent, for the New York",Non-Entity Phrase
1014,train,"ed vehicle.thumbDuring a headlamp inspection, the vehicle headlamp is aimed through the lens at an aiming screen target which has four solid red or",blue lines,"showing the 0.5%, 1.25%, 2% and 2.75% positions about the centreline. The % increments are only in the 3.25% and 4% positions when the te",Non-Entity Phrase
1018,train,"ialism, slavery, and Négritude. The First Congress of Black Writers and Artists was organized by the Pan-African quarterly cultural, political, and",literary review,Présence Africaine. It was held in Paris in September 1956. Ahmed Sékou Touré spoke at the Second Congress of Black Writers and Arti,Non-Entity Phrase
1030,train,"teran of the U.S. Army Air Corps during World War II, Tatum was interred in the Fort Bliss National Cemetery.Tatum is considered to be the original",clown prince,—a term first applied to seminal Chicago Crusader/Philadelphia Giant Jackie Bethards in 1933—of the Trotters. He wove numerous comic ro,Missing Entity
1032,train,"Allied Power after learning how evil the Nazi regime truly was. On the same train car they meet a Hungarian man, who is also a vampire, covered in",head to toe,to save himself from the sun's light. Jetlad and Skywitch reminisce about their past and discuss their future in Neopolis. They share a,Non-Entity Phrase
1036,train,"o Mother, who is delighted to get the letter, as it's an invitation to a wedding. Pingu shows the photo to Father, who gets out Mother and Father's",wedding album,"with the green penguin friends and shows it to Pingu and Pinga.Mother and Father go to get a present, leaving Pingu and Pinga at home",Missing Entity
1043,train,"5 she stayed in Paris and Chartres for six months. In France, she took a variety of new ideas for her work back to Germany, which should be used in",the last five years,"of her work.In 1930, Maetzel-Johannsen worked on a commissioned design for a ceiling painting in the Hamburg Planetarium, but sh",Non-Entity Phrase
1054,train,"Guv'nors daughter. This is the prequel to Jack Says which was released in 2007 starring Mike Reid. She has been in music videos as well, Dominatorz",do you love me,(leading lady) and a Ronan Keating video.,Missing Entity
1055,train,"binina. Stepan's brother, Ivan Dmitrievich Kobozev, was the salt head in Belgorod since 1778. Yakov Stepanovich Kobozev was a Belgorod merchant and",ratman,". The latter's son, Nikolay Yakovlevich (1781鈥?834), was a merchant too, but his son, Aleksey Nikolayevich (1804鈥?) left the merchant guild fo",Non-Entity Phrase
1059,train,"mentators, particularly from the USSR, have suggested that all this (and his continuing demands and unreasonableness) was part of Fischer's plan to",psych,"out Spassky. Fischer's supporters say that winning the World Championship was the mission of his life, that he simply wanted the setting to be",Non-Entity Phrase
1063,train,a Cerva before her murder. Chris is a cousin once removed of Tony's wife Carmela.===Season one===Christopher begins the series as Tony's driver and,enforcer,", and is eager to rise through the ranks in the Mafia. He makes his bones by killing Emil Kolar in order to settle a dispute with the DiMeo",Non-Entity Phrase
1064,train,"ti's purported later request: I would ask one thing of the Blessed One, Ananda. It would be good if the Blessed One would allow making salutations,",standing up,"in the presence of another, paying reverence and the proper performance of duties, to take place equally between both bhikkhus and bhikk",Non-Entity Phrase
1066,train,39. Nila Nizhal * 40. Aayirathil Iruvar * 41. Aryabhatta * 42. Padhavikkaga * 43. Ullam Thurandhavan * 44. Marubadiyum Ganesh * 45. Vannathu Poochi,vettai,* 46. Commissioner ku kadidham * 47. Vidivadharkul Vaa * 48. Thanga Mudichu * 49. Ore Oru Dhrogam - A novel which flows in the perspective of,Non-Entity Phrase
1073,train,mpadi Subrahmanya Swami Temple * Kotty Sree Aadhi Kannangadu Temple * Kandangali Kanakath Kazhakam Poomala Bhagavathi Temple * Thalayanneri poomala,bagavathi,kavu * * Vellur Sree Chamakkavu Bagavathy Temple *==References==,Non-Entity Phrase
1076,train,he last session recording made by Maestro Ravi Shankar before his passing in December 2012. Session Mishra Kafi introduces the set with a beautiful,alaap,"and Gat in medium tempo Deepchandi Taal. Session Sindhi Bhairavi, with its Gat in Dadra and Teen Taal, highlights in the in-depth facility wit",Non-Entity Phrase
1077,train,f PFLP-GC. They are not representative of the Palestinians . Another said that Jibril does not even belong to the Palestinian Left. He is closer to,the extremist,"right-wing groups than to revolutionary leftist ones . On 18 December, the Palestinian National Council (PNC) denounced Jibril, saying",Non-Entity Phrase
1081,train,ows that things are not as black and white as that.Gallagher commented: I wanted to write a police drama that I would like to watch. One that would,thrill me,"and disturb me. One that would shake me up and be about subjects that really matter, not just the stories, but the way that the stories ar",Non-Entity Phrase
1085,train,"es, and museums, including the Blue-Dyeing Museum (Kékfestő Múzeum), set up in a former factory which produced clothes and other textiles dyed with",indigo blue,"under a unique method.The town is also noted for its thermal baths, particularly a newly constructed swimming complex, the Esterházy fam",Non-Entity Phrase
1091,train,na on QTV *The 700 Club Asia on QTV *Gag Ito! on Studio 23 *Kapatid Sa Hanapbuhay on Net 25==Programs transferring networks====Finales==*January 6:,agos,(GMA) *January 20: Amazing Twins (ABS-CBN) *January 28: My Juan and Only (ABS-CBN) *February 10: **Sugo (GMA) **Vietnam Rose (ABS-CBN) **Only Y,Non-Entity Phrase
1093,train,rested in the lobster fishery. The factory operated until 1960 when it was shut down because it was considered no longer profitable. In addition to,the lobster,"fishery, people began to fish cod and herring. Everyone grew their own garden vegetables. In the meantime, the French Settlers had built",Non-Entity Phrase
1094,train,"' (2005), Taxi Number 9211 (2006), Ashok (2006), Race (2008), Varanam Aayiram (2008), De Dana Dan (2009), Aakrosh (2010),",vettai,(2012) and Tezz (2012).,Non-Entity Phrase
1100,train,USS Surf (SP-518) was a steam yacht that was offered to the United States Navy in 1917 but was never,accepted,.,Non-Entity Phrase
1104,train,"1 due to poor patronage and ticket sales, leaving Edmonds with only two daily train departures. Edmonds was slated to lose its ticketing office and",baggage claim,"in 1983 as part of national cuts to stations with low ridership, but was spared by Amtrak because of an increase in ticket revenue.The",Non-Entity Phrase
1106,train,d who spoke with a smooth accent. Mark then convinced them to meet the actual informant and drove Edwards and Goody to Finsbury Park where they met,another man,"they nicknamed the Ulsterman , who was a slightly balding middle aged man, who spoke with a Northern Irish lilt (where Goody had grown u",Non-Entity Phrase
1108,train,"the First Chechen War Arkadiy Babchenko, Russian mass media played a significant role in starting the war in Donbass stating that this is the first",war in history,"started exclusively by Goebbels-like propaganda . Writing in March 2014 for Gazeta.ru, Yekaterina Bolotovskaya said the Russian media",Non-Entity Phrase
1110,train,"Hamilton under the guise of being friends, and Hamilton would in return send $30 to $40. Hamilton's last loan of $50 to James Reynolds and possibly",the end of the affair,"dates June 1792.In November 1792, James Reynolds, after illegally purchasing Revolutionary War soldiers' pensions and back-pay",Missing Entity
1112,train,"the party: 'These days, we often go to Berghain [the infamous Berlin club] on a Sunday lunchtime, or Gutterslut in east London. [...] I personally",like crazy,"nights with ridiculous drag queens, not people taking photos of the DJ all night.' Images of Gutterslut events appear in the book New Clu",Non-Entity Phrase
1116,train,"o. Shields is credited with being the originator of The Robot moves early in his career. In 1974, Shields appeared in Francis Ford Coppola's film",the conversation,". In 1998, Shields was recruited by the Ringling Bros. and Barnum &amp; Bailey Circus to serve as their Director of Clowning.Loren",Non-Entity Phrase
1126,train,are:* El porvenir de América Latina * Vendimias juveniles * El destino de un continente * Cuentos de la Pampa * El dolor de escribir * El dramático,destino,de una generación * El naufragio de los Argonautas==External links==*,Non-Entity Phrase
1130,train,"orld’s absurdities can’t shield her from being, irrevocably, part of it. So again—degree of comedic difficulty noted. But this is The Simpsons. And",say what you want,"about the good old days, but when there’s a legacy of writing great Lisa stories and you botch one this badly, the failure is that",Non-Entity Phrase
1132,train,"d citing suicide.In September 2002, Mohamed and actor Ali Seezan were convicted for an extramarital sexual affair where they were apprehended while",together alone,"in a locked, darkened room. They were subsequently convicted and publicly flogged. Mohamed was also sentenced to eight months house a",Non-Entity Phrase
1135,train,"ca. $60, 000 of which a little less than one quarter was contributed by Americans.His philosophy was one of Christian love without dogma, espousing",a simple life,and love of nature.Grace King of New Orleans: A Selection of Her Writings (1999) Louisiana State University PressThe publication of hi,Non-Entity Phrase
1147,train,"but he changed his mind when Aladdin came out in the last year of high school.After he joined Blue Sky Studios, he served as an animator for",fight club,"and The Sopranos. He later served as a supervising animator for Ice Age, Robots, and Ice Age: The Meltdown.His first di",Missing Entity
1151,train,idency in head and neck surgery at the New York Eye and Ear Infirmary. Jacono then continued further training with a fellowship in aesthetic facial,plastic and reconstructive surgery,at the new York Eye and Ear infirmary. Jacono then continued further training with a fellowship in aesthetic faci,Missing Entity
1152,train,"ed 38, duly did so. From interviews he gave around that time he fully expected to be called up. However, as a married man with dependents, he was a",long way down,the priority list for being drafted. Crosby wanted to do as much as possible for the war effort pending being drafted but it soon beca,Non-Entity Phrase
1159,train,"(10 years in the Funimation dub), Goku is accidentally turned back into a child by the used by his old enemy Emperor Pilaf and is forced to travel",across the universe,"to retrieve them, accompanied by his granddaughter Pan and Trunks. The trio go through various adventures in their journey to fi",Non-Entity Phrase
1164,train,Spur gears or straight-cut gears are the simplest type of gear. They consist of a cylinder or disk,with teeth,"projecting radially. Though the teeth are not straight-sided (but usually of special form to achieve a constant drive ratio, mainly involute but less commonly cycloidal), the edge of eac",Non-Entity Phrase
1165,train,"e Young Doctors as (Ted Wilcox), Prisoner, Sons and Daughters, and A Country Practice, he also had guest roles on sitcoms including",mother and son,"and Boys from the Bush, with his work in soap opera providing some notable exceptions, however Lloyds career was mainly confine",Non-Entity Phrase
1169,train,tFest 2003 introduced a Surprise Movie to its schedule. The surprise movie was originally slated to appear on the Sunday timetable. Due to losing,the butterfly effect,from the festival schedule it was moved to Friday. The slot was filled however by a last minute arrival of Dracula: Pages f,Missing Entity
1171,train,"r son Louis to the court of Charles the Fat, and received his recognition of the young Louis as king. Charles adopted Louis as his son and put both",mother and son,"under his protection. In May 889, she travelled to Charles' successor, Arnulf, to make submission anew.Through her marriage to Boso,",Non-Entity Phrase
1172,train,"s new friends angrily abandon him and Nelson snatches his swim trunks as a final insult. Standing naked and alone amid the wreckage, Martin sings",summer wind,"as the sun sets.==Production==Dan McGrath was chosen to write the episode, while Jim Reardon directed. The episode was originally prod",Non-Entity Phrase
1180,train,otoko (1961) * Akai kôya (1961) - Sakie Yazaki * Kachan umi ga shitteru yo (1961) * Yôjinbo kagyô (1961) * Nosappu no jô (1961) * Otoko to otoko no,ikiru,machi (1962) - Emi Iwasaki * Moeru minamijûjisei (1962) - Akemi * Wataridori kokyô e kaeru (1962) - Misato Matsuyama * Ore ni kaketa yatsura (,Non-Entity Phrase
1183,train,"vocalist/keyboardist Dennis DeYoung, a devout Roman Catholic, originally wrote the song for his son Matthew as a pseudo-hymn about the struggle to",keep the faith,"in a world so filled with hatred . Released in December 1990, the song was slowly scaling the charts. In January 1991, just prior to",Non-Entity Phrase
1189,train,"the Australian pine . Commentators suggest that it was named after a W. Somerset Maugham novel, Under the Casuarina Tree, or maybe refers to a tree",on the lot,that survived the 1926 Miami hurricane.Major architecture features included an observatory and a small replica of the Homage Tower from t,Non-Entity Phrase
1190,train,"sed on 20 March 2015, including this album.The album was released in the UK on iTunes for the first time to download in late 2017. - Music from the",edge of heaven,,Non-Entity Phrase
1193,train,"the ninth.===1980s===ABC hardly showed any baseball games during the regular season in the 1980s and when they did, it was only on either Monday or",thursday nights,"from the end of Sweeps Week in late May until the NFL preseason started in the first week of August, and then not again until the pl",Non-Entity Phrase
1197,train,"nchained while getting up from it. She wears a red dress and red make-up on her face. Later another scenes, show her singing in a room similar to",the cell,", while the band is performing in another room.===Live performances and usage in media===Sweet Sacrifice was part of the set list during t",Non-Entity Phrase
1207,train,"and the road is now designated the A167. The Teesdale Way footpath runs through the village, as does the East Coast Main Line, although there is no",longer,"a railway station.==Amenities==The village has a newsagent, a doctor's surgery, a garage, a pharmacy, a hair salon There is one pub the Comet",Non-Entity Phrase
1208,train,8.;Species *Irvingia excelsa - C Africa *Irvingia gabonensis - W + C Africa *Irvingia grandifolia - C Africa *Irvingia malayana - SE Asia *Irvingia,robur,- W + C Africa *Irvingia smithii - W + C Africa *Irvingia tenuinucleata - W + C Africa,Non-Entity Phrase
1209,train,".The series stands out for its use of absurd situations, mixed with risqué and innuendo-laden humour, sight gags and observational sketches without",punchlines,". Live action segments were broken up with animations by Gilliam, often merging with the live action to form segues. The overall format us",Non-Entity Phrase
1213,train,"ard to determine. Even with the aggressiveness or perhaps because of it, both Jewish and Arab leaders inform me that the inter-racial relations are",better now,"than they have been for several years and that understanding, tolerance and cooperation are present at any top level meeting between the",Non-Entity Phrase
1217,train,", along with gitanos, is a Spanish name for gypsies. They were also identified as the Comprachicos or Comprapequenos in Victor Hugo's",the man who laughs,. Hugo claimed that traces of this group can be found in the penal laws of Spain and England. Their origin is linked to gypsies,Non-Entity Phrase
1223,train,mean the same thing as spiritualism but Spiritism is more accurately used to mean Kardecist spiritism. Central to adherents' faith is a belief that,spirits of the dead,communicate with the living usually through a medium.The word also takes on specific alternative meanings in various differing f,Non-Entity Phrase
1224,train,"t the Old Red Lion Theatre, Alec D'Urbaville in Tess at The Latchmere. Also there he performed The Promise with his own company One Word,",the collector,at The Spice of Life and Rutherford and Son at The New End. At The Bush Theatre under Mike Bradwell he appeared in the award-win,Missing Entity
1225,train,(3-volumes) * Tarikh-e-Najibabad * Jang-e-Angura * Nawab Ameer Khan * Gaay awr Uski Tarikhi Azmat * Ved awr Uski Qudamat * Hindu awr MusalmanoN ka,ittefaq,* Aaina Haqeeqat Numa.==References==,Non-Entity Phrase
1229,train,"Shame 鈥?Shirley &amp; Company 鈥?4:02 # Cut the Cake 鈥?Average White Band 鈥?3:39 # You're the First, the Last, My Everything 鈥?Barry White 鈥?3:34 #",low rider,鈥?War 鈥?3:03 # Fight the Power (Part 1 &amp; 2) 鈥?Isley Brothers 鈥?3:17 # Bungle in the Jungle 鈥?Jethro Tull 鈥?3:33 # Only Women Bleed 鈥?A,Non-Entity Phrase
1230,train,ch as hay and grains.==Career==Brazelton's mode of robbery was to wear a mask over his face and carry a pistol and rifle in one hand while ordering,the driver,and passengers to hand over any valuables. He is alleged to have committed nine stage robberies in Arizona and New Mexico: three near Sil,Missing Entity
1239,train,"Moonlight and Sleeper Cell.==Gaming==He has done sound design and performed for video games such as Assassin's Creed, Far Cry Instincts and",the conduit,".==Virtual instruments==He also designed and programmed sound for Korg Z1, Spectrasonics Atmosphere, Omnisphere and Trillian, Bob Moog Tr",Missing Entity
1241,train,"Treklyano Municipality (,",trl,"Obština Trekljano) is a municipality in Kyustendil Province, Bulgaria. The administrative centre is Treklyano.",Non-Entity Phrase
1243,train,Pseudagrion,jedda,"is a species of damselfly in the family Coenagrionidae, commonly known as a dusky riverdamsel. It is a large, dull and darkly coloured damselfly, found in northern Australia, where it inhabits streams and lagoons.",Missing Entity
1245,train,"al ecozones of the Arctic Cordillera, Northern Arctic, Southern Arctic, Hudson Plains, Taiga Shield, Taiga Plains, and Taiga Cordillera, as well as",the marine,ecozones of the Arctic Basin Marine and Northwest Atlantic Marine.,Missing Entity
1246,train,"r for five Major League Baseball teams, most notably the California Angels, as Brother Angel. *Jeremy Hoop, starring actor in the movies Charly and",the testaments,", as an emotional reader of the book, Charly. *Danny Ainge, former NBA player and current Boston Celtics General Manager, plays a Sunb",Non-Entity Phrase
1249,train,"ompute the Verlet lists (N is the total number of particles), but are rewarded with n Monte Carlo sweeps of order Nn^2 instead of NN. By optimizing",our choice,of n it can be shown that Verlet lists allow converting the O(N^2) problem of Monte Carlo sweeps to an O(N^) problem.Using cell lists to,Non-Entity Phrase
1254,train,"He Say? (Compass, 1997) * Yin-Yang (Compass, 1999) * Live in America (Compass, 2001) * Soul Circus (Vanguard, 2005) * Palmystery (Heads Up, 2008) *",a show of hands,"(Vix, 2011) * The Music Lesson (Vix, 2011) * Words &amp; Tones (Vix, 2012) * Sword &amp; Stone (Vix, 2012) * Trypnotyx (Vix, 2017)Wi",Missing Entity
1255,train,"ine culture magazine, named Gonzalez one of 23 People Who Will Make You Care About Poetry in 2013 .==Reviews==A review in Rumpus magazine described",i will,"never be beautiful enough to make us beautiful together as about disconnected sex, anxiety, loneliness, drugs, and depression but with cool,",Non-Entity Phrase
1261,train,"==Work on e-mail and anti-spam technology==Leiba's interest in e-mail began in the early 1980s, with IBM's",profs,"system, and with a proprietary e-mail system developed for an IBM customer. In the early 1990s he and his team at IBM Research developed an early implementation of an integrated multi",Non-Entity Phrase
1262,train,"entered the water), in the movie Mr. India.==Selected filmography=====Television===* Four Weddings and a Funeral (2019) * Billionaire Boy (2016) *",the driver,(2014) * The Boy in the Dress (2014) * Mapp and Lucia (2014) * * Gangsta Granny (2013) * Mr Stink (2012) * Baa Bahoo Aur Baby (2010) * Co,Missing Entity
1263,train,cence requirements and other standards and requirements established by the Registrar of Alcohol and Gaming. * Approving rules of play or changes to,rules of play,for games of chance conducted and managed by the OLG. * Through its Investigations and Enforcement Bureau which is under the direction,Non-Entity Phrase
1264,train,"first film he produced was A Man Called Tiger from 1973. In 1989, he was nominated for a Hong Kong Film Award for best picture for the movie",painted faces,", which was released in 1988. Later productions credits include Armour of God and Rumble in the Bronx. In the end credits of",Missing Entity
1269,train,"when his son Balthazar was born in 1975. The couple divorced in 1993.Getty acted in some European films, playing supporting parts in Raúl Ruiz's",the territory,"and in Wim Wenders's The State of Things., The Daily Telegraph, (London). February 7, 2011 He and his wife lived for a time",Non-Entity Phrase
1271,train,", no past standards to measure you by. How can anyone tell you aren't running a top outfit? And then there's no past laws or rules or precedents to",hold you down,"or limit you. Make your own rules and interpretations. Nothing like it. Remember it, expand into the power vacuum!'=== Founded a colle",Non-Entity Phrase
1273,train,", Mercer) # The Girl That I Marry (Berlin) # I Fall In Love with You Ev'ry Day (Sam Stept) # How Deep Is the Ocean (How Blue Is the Sky) (Berlin) #",home on the range,"(Traditional) # The Song Is You (Hammerstein II, Kern) # Soliloquy (Parts 1 &amp; 2) (Rodgers, Hammerstein II) # Somewhere In the",Missing Entity
1276,train,"t). English translation in Guillame (1955), pp. 145&amp;ndash;146 Kenana al-Rabi, who had the custody of the treasure of Banu Nadir, was brought to",the apostle,"who asked him about it. He denied that he knew where it was. A Jew came (Tabari says was brought ), to the apostle and said that he had",Non-Entity Phrase
1283,train,"m purports that the 'techno-human' conundrum is the hottest and most controversial topic of this century, and the project is designed to jump-start",the conversation,"about the moral and religious questions raised by the biotech revolution.===Terasem Movement Transreligion, Inc.===Terasem Movement",Non-Entity Phrase
1286,train,"ctions of wildlife and the plight of endangered species, his work often also includes references to Southern Africa's ancient San- and Koi- bushman",rock painting,"heritage. He represents nature from a conceptual point of view. His style contains elements of the surreal, tension between esoteric p",Non-Entity Phrase
1288,train,"ain ==In the summers of 2000 and 2001, Rowland managed the Pacific Wilderness Railway (PAW) on Vancouver Island, British Columbia. This short lived",tourist train,"consisted of a few older coach cars pulled by 2 GP20 diesels, traveling from Victoria to the peak of Malahat before returning to Victo",Non-Entity Phrase
1289,train,"so a huge crowd favorite, performed the song, 鈥淐aballo De Palo鈥?(Wooden Horse). He had a phenomenal voice, and during his performance at the final,",something happened,"to his music track, and it completely cut out, leaving Juantio to finish his song a cappella. Juanito showed an enormous amount o",Non-Entity Phrase
1290,train,"Selected Papers (Bryan &amp; Bair) in bibliography, both volumes passim. Marcet immediately became the focus of attention and affection for a small",family circle,"that included her Uncle George Haldeman, Grandmother Anna Addams, and parents. Jane Addams was also a doting aunt. […] For the remaind",Non-Entity Phrase
1291,train,ose daughter disappears. The dialogue moves between surreal hyper-reality and plain naturalism jumping between time.The title comes from the saying,the early bird,catches the worm which Debbie repeatedly told their daughter in the mornings before she went to school which was the last time either,Non-Entity Phrase
1292,train,"the development of the Granada Royale Hometel and the building of The Omaha Tower, both in Omaha. He donated to charities he cared about, including",the boys club,"of Omaha. He entertained at homes in Omaha, Acapulco, Miami, Ontario, Canada, and Minnesota. In 1969, he dined twice with President Ri",Non-Entity Phrase
1294,train,"l feature films, including Stuart Little, Alien Resurrection, Flubber, Volcano, Godzilla, Wing Commander, Monkeybone,",bless the child,"and X-Men, as well as on television films and series. Dreamscape Imagery Inc. sold the source code to the Internet company Cre",Non-Entity Phrase
1300,train,"CBC Sports through the end of the 2013鈥?4 NHL season. Beginning in the 2014鈥?5 NHL season, the brand is being licensed to Rogers Communications for",sportsnet,#NAME?,Non-Entity Phrase
1301,train,"rn Syria. It is the administrative center of the Tell Abyad District within the Raqqa Governorate. Located along the Balikh River, it constitutes a",divided city,with the bordering city of Akçakale in Turkey.Tall Abyad was captured by the Free Syrian Army in September 2012 during the Syrian Civil,Non-Entity Phrase
1302,train,II the region was placed under Polish administration by the Potsdam Agreement under territorial changes demanded by the Soviet Union. Most Germans,fled,or were expelled and replaced with Poles expelled from the Polish areas annexed by the Soviet Union or Ukrainians forced to settle in the area,Non-Entity Phrase
1304,train,"owing his meeting with Magnus. Having assimilated the style and the graphic trait, he alternated with him in the realization of the plates first by",kriminal,", then by Satanik, on texts by Max Bunker. When Magnus left the creation of Alan Ford to devote himself to something else, Romanini, who per",Missing Entity
1306,train,"Istanbul) *Ana wa Mirati wa Monica (Me, My Wife and Monica) *Almotazaowegoun *Akhoia hayes wana layes *mamno3 fe lelet el do5la *Lahfa (2015) *Fel",la la land,(2017)==References==,Missing Entity
1317,train,"University==See also==* List of economists== Selected publications ==* MOURA, Fábio Rodrigues de; PAES, Nelson Leitão;  FARIAS, Tácito Augusto.  O",impacto,do tempo de pendência das patentes na trajetória de crescimento: uma análise com base no modelo schumpeteriano de crescimento endógeno com a,Non-Entity Phrase
1320,train,==Track listing=====Disc one===#,i will,鈥?John Holt 鈥?3:36 # My Sweet Lord 鈥?Keith Lynn 鈥?3:24 # You Won't See Me 鈥?Ernie Smith 鈥?3:56 # Hey Jude 鈥?The Dynamites 鈥?2:51 # Get Back 鈥?Anonymously Yours 鈥?3:00 # Let It Be 鈥?The Soulettes 鈥?3:32 # Lady Madonna 鈥?The Crystalites 鈥?2:28 # Carry That W,Non-Entity Phrase
1324,train,"s.==Symbols==Kappa Alpha Theta's colors are black and gold. The official symbols are both the kite and twin stars, while the official flower is the",black and gold,pansy. The fraternity does not recognize an official stone.== Membership =====The Kappa Alpha Theta Magazine===Theta's Grand Conventi,Non-Entity Phrase
1325,train,"eory but evidently because Neptune is the Roman sea god. * In Olaf Stapledon's 1930 epic novel Last and First Men, Neptune is the final home of the",highly evolved,human race. The planet is depicted as having a dense atmosphere but with a solid surface. * In Hugh Walters' 1968 novel Nearly Neptun,Non-Entity Phrase
1328,train,"&amp; Sons, Inc. in 1913 and the patriarch of the Moody family of Jacksonville, Florida. His business, M. D. Moody, became the oldest family owned",construction equipment,"distributor in the United States and at one point the largest crane dealer in the southeast.Weaver, 2001, p. 159. Moody also",Non-Entity Phrase
1331,train,"ies. * The series featured mostly characters associated with and/or concepts originating in Uncanny X-Men or another X-Book, thus The Defenders and",the champions,", which featured both X-Men-related and non-X-Men related characters will not be counted and neither will series which occasionally fea",Missing Entity
1334,train,t her without violating the promise he made to her as a child that he would protect her.While Oh-gong tries to figure out a way to convince Seon-mi,to die for,"him, Soo Bo-ri goes to Woo Ma-wang and asks him for help in protecting Sam-jang. Ma-wang takes Seon-mi to a antique shop with magical war",Non-Entity Phrase
1335,train,"opposed by the king's sisters Ludwika Maria Poniatowska and Izabella Poniatowska, and nothing came of it.Biogram został opublikowany w 1936 r. w II",tomie,"Polskiego Słownika Biograficznego.Sophia Albertina was sometimes called The Princess with the ice heart. However, it was common knowledge in S",Non-Entity Phrase
1338,train,"y 1996, ESPN Radio had expanded to weekdays with a show hosted by The Fabulous Sports Babe, Nancy Donnellan. One hour of that show was simulcast on",espn2,"(1-2 p.m. Eastern time). Two years later, Tony Bruno and Mike Golic were brought together for a new morning show, the Bruno &amp; Golic Mornin",Missing Entity
